,predictor,AIC
271,['ageph' 'agecar' 'powerc'],39000.71192840356
272,['ageph' 'sexp' 'fuelc'],38998.34295643803
273,['ageph' 'sexp' 'split'],38875.31777481831
274,['ageph' 'sexp' 'fleetc'],39009.052612912834
275,['ageph' 'sexp' 'sportc'],39010.55632900102
276,['ageph' 'sexp' 'coverp'],39000.4967563309
277,['ageph' 'sexp' 'powerc'],39007.50198183764
278,['ageph' 'fuelc' 'split'],38869.05492362709
279,['ageph' 'fuelc' 'fleetc'],39003.10979476932
280,['ageph' 'fuelc' 'sportc'],39004.68906270564
281,['ageph' 'fuelc' 'coverp'],38992.43043280821
282,['ageph' 'fuelc' 'powerc'],39000.911275462706
283,['ageph' 'split' 'fleetc'],38879.06314040183
284,['ageph' 'split' 'sportc'],38879.21312111045
285,['ageph' 'split' 'coverp'],38859.794854839274
286,['ageph' 'split' 'powerc'],38877.294955296784
287,['ageph' 'fleetc' 'sportc'],39013.275193624766
288,['ageph' 'fleetc' 'coverp'],39003.72543033501
289,['ageph' 'fleetc' 'powerc'],39011.44447736707
290,['ageph' 'sportc' 'coverp'],39004.34180250965
291,['ageph' 'sportc' 'powerc'],39011.85151911169
292,['ageph' 'coverp' 'powerc'],39000.85575992078
293,['ageph' 'agecar' 'sexp' 'fuelc'],38987.8109611352
294,['ageph' 'agecar' 'sexp' 'split'],38867.33075086404
295,['ageph' 'agecar' 'sexp' 'fleetc'],39000.14872536173
296,['ageph' 'agecar' 'sexp' 'sportc'],39001.44737072303
297,['ageph' 'agecar' 'sexp' 'coverp'],38993.868879650494
298,['ageph' 'agecar' 'sexp' 'powerc'],38997.10078427742
299,['ageph' 'agecar' 'fuelc' 'split'],38859.24198197504
300,['ageph' 'agecar' 'fuelc' 'fleetc'],38992.48563415496
301,['ageph' 'agecar' 'fuelc' 'sportc'],38993.83909931277
302,['ageph' 'agecar' 'fuelc' 'coverp'],38985.51945688131
303,['ageph' 'agecar' 'fuelc' 'powerc'],38987.97410965837
304,['ageph' 'agecar' 'split' 'fleetc'],38870.836095784325
