,predictor,BIC
270,['ageph' 'lat' 'long' 'agecar' 'usec' 'sexp' 'coverp' 'powerc'],311289.1340960419
271,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'fleetc'],311341.9560062694
272,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'sportc'],311237.8487474004
273,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'coverp'],311258.8114531874
274,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'split' 'powerc'],311244.1774897671
275,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'sportc'],311373.1715196998
276,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'coverp'],311371.5158139259
277,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'fleetc' 'powerc'],311366.59006811824
278,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'coverp'],311208.8863604337
279,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'sportc' 'powerc'],311305.48841499677
280,['ageph' 'lat' 'long' 'agecar' 'usec' 'fuelc' 'coverp' 'powerc'],311332.83540758165
281,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'sportc'],311218.2147187816
282,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'coverp'],311247.2587492835
283,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'fleetc' 'powerc'],311223.04627334746
284,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'coverp'],311069.3316117231
285,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'sportc' 'powerc'],311156.7698081672
286,['ageph' 'lat' 'long' 'agecar' 'usec' 'split' 'coverp' 'powerc'],311207.3232061349
287,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'coverp'],311190.4796390191
288,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'sportc' 'powerc'],311282.5145905869
289,['ageph' 'lat' 'long' 'agecar' 'usec' 'fleetc' 'coverp' 'powerc'],311314.64997179626
290,['ageph' 'lat' 'long' 'agecar' 'usec' 'sportc' 'coverp' 'powerc'],311185.1120131638
291,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'fleetc'],311305.0502446143
292,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'sportc'],311196.5773174316
293,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'coverp'],311255.44321979035
294,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'split' 'powerc'],311221.1463613071
295,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'sportc'],311332.3943662212
296,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'coverp'],311367.3310562167
297,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'fleetc' 'powerc'],311347.06939718087
298,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'coverp'],311203.43354728987
299,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'sportc' 'powerc'],311283.73044309474
300,['ageph' 'lat' 'long' 'agecar' 'sexp' 'fuelc' 'coverp' 'powerc'],311342.31113767193
301,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'sportc'],311168.89105170046
302,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'coverp'],311235.9053434012
303,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'fleetc' 'powerc'],311194.27694371185
304,['ageph' 'lat' 'long' 'agecar' 'sexp' 'split' 'sportc' 'coverp'],311052.66407702497
